Volcano Name,Country,Continent,Area of Activity,VEI,Date,Evidence Method (dating);
283180,Azumayama,17934,1950,128881,Crater formation,Parasitic.,,,,,,,;
283180,Azumayama,17937,1977,128887,Ash,,,,,,,,;
283180,Azumayama,17937,1977,128888,Phreatic activity,weak or small,,,,,,,;
283190,Zaozan,17938,-7600,128890,Ash,,,,,,,,;
283190,Zaozan,17938,-7600,128891,Phreatic activity,,,,,,,,;
283190,Zaozan,17939,-5600,128893,Explosion,,,,,,,,;
283190,Zaozan,17939,-5600,128894,Ash,,,,,,,,;
283190,Zaozan,17940,-5500,128896,Ash,,,,,,,,;
283190,Zaozan,17940,-5500,128897,Phreatic activity,,,,,,,,;
283190,Zaozan,17941,-4150,128899,Explosion,,,,,,,,;
283190,Zaozan,17941,-4150,128900,Ash,,,,,,,,;
283190,Zaozan,17941,-4150,128901,Phreatic activity,,,,,,,,;
283190,Zaozan,17942,-3850,128903,Explosion,,,,,,,,;
283190,Zaozan,17942,-3850,128904,Ash,,,,,,,,;
283190,Zaozan,17942,-3850,128905,Pyroclastic flow,,,,,,,,;
283190,Zaozan,17943,-3350,128907,Explosion,,,,,,,,;
283190,Zaozan,17943,-3350,128908,Phreatic activity,,,,,,,,;
283190,Zaozan,17944,-2600,128910,Explosion,,,,,,,,;
283190,Zaozan,17956,1400,128912,Explosion,,,,,,,,;
283190,Zaozan,17956,1400,128913,Ash,,,,,,,,;
283190,Zaozan,17956,1400,128914,Phreatic activity,Uncertain,,,,,,,;
283190,Zaozan,17957,1620,128917,Explosion,Uncertain,,,,,,,;
283190,Zaozan,17957,1620,128918,Fauna kill,Terrestrial.,,,,,,,;
283190,Zaozan,17958,1622,128920,Explosion,Uncertain,,,,,,,;
283190,Zaozan,17959,1623,128923,Explosion,,,,,,,,;
283190,Zaozan,17959,1623,128924,Ash,,,,,,,,;
283190,Zaozan,17959,1623,128925,Loud audible noises,,,,,,,,;
283190,Zaozan,17959,1623,128926,Blocks,,,,,,,,;
283190,Zaozan,17960,1630,128928,Explosion,Uncertain,,,,,,,;
283190,Zaozan,17961,1641,128930,Explosion,Uncertain,,,,,,,;
283190,Zaozan,17962,1668,128932,Explosion,Uncertain,,,,,,,;
283190,Zaozan,17963,1669,128934,Explosion,,,,,,,,;
283190,Zaozan,17963,1669,128935,Ash,,,,,,,,;
283190,Zaozan,17963,1669,128936,Property damage,,,,,,,,;
283190,Zaozan,17964,1670,128938,Explosion,,,,,,,,;
283190,Zaozan,17964,1670,128939,Ash,,,,,,,,;
283190,Zaozan,17964,1670,128940,Phreatic activity,,,,,,,,;
283190,Zaozan,17965,1694,128943,Explosion,Uncertain,,,,,,,;
283190,Zaozan,17965,1694,128944,Phreatic activity,,,,,,,,;
283190,Zaozan,17973,1830,128946,Phreatic activity,Uncertain,,,,,,,;
283190,Zaozan,17974,1831,128949,Phreatic activity,Uncertain,,,,,,,;
283190,Zaozan,17974,1831,128950,Lahar or mudflow,Uncertain,,,,,,,;
283190,Zaozan,17975,1833,128953,Ash,,,,,,,,;
283190,Zaozan,17975,1833,128954,Phreatic activity,Uncertain,,,,,,,;
283190,Zaozan,17976,1867,128957,Phreatic activity,Uncertain,,,,,,,;
283190,Zaozan,17976,1867,128958,Property damage,Uncertain,,,,,,,;
283190,Zaozan,17976,1867,128959,Fatalities,,,1867,,10,,21,;
283190,Zaozan,17976,1867,128960,Lahar or mudflow,,,,,,,,;
283190,Zaozan,17977,1873,128962,Phreatic activity,Uncertain,,,,,,,;
283190,Zaozan,17979,1894,128967,Ash,,,,,,,,;
283190,Zaozan,17979,1894,128968,Phreatic activity,Uncertain,,,,,,,;
283190,Zaozan,17980,1895,128971,Ash,,,,,,,,;
283190,Zaozan,17980,1895,128972,Lapilli,,,,,,,,;
283190,Zaozan,17980,1895,128973,Phreatic activity,Uncertain,,,,,,,;
283190,Zaozan,17980,1895,128974,Lahar or mudflow,,,,,,,,;
283190,Zaozan,17980,1895,128975,Fauna kill,Aquatic.,,,,,,,;
283190,Zaozan,17981,1895,128978,Ash,,,,,,,,;
283200,Naruko,17993,-800,128979,Phreatic activity,,,,,,,,;
283200,Naruko,17994,837,128980,Explosion,,,,,,,,;
283200,Naruko,17994,837,128981,Lahar or mudflow,Uncertain,,,,,,,;
283210,Kurikomayama,17995,-3540,128982,Phreatic activity,,,,,,,,;
283210,Kurikomayama,17996,1450,128983,Phreatic activity,,,,,,,,;
283210,Kurikomayama,17997,1726,128985,Phreatic activity,Uncertain,,,,,,,;
283210,Kurikomayama,17998,1744,128987,Phreatic activity,Uncertain,,,,,,,;
283210,Kurikomayama,18000,1944,128992,Phreatic activity,weak or small,,,,,,,;
283210,Kurikomayama,18000,1944,128993,Property damage,,,,,,,,;
283210,Kurikomayama,18000,1944,128994,Lahar or mudflow,,,,,,,,;
283210,Kurikomayama,18001,1946,128996,Phreatic activity,,,,,,,,;
283210,Kurikomayama,18001,1946,128997,Lahar or mudflow,,,,,,,,;
283210,Kurikomayama,18002,1950,128999,Phreatic activity,,,,,,,,;
283210,Kurikomayama,18002,1950,129000,Loud audible noises,,,,,,,,;
283220,Chokaisan,18003,-1050,129002,Lava flow(s),,,,,,,,;
283220,Chokaisan,18003,-1050,129003,Lava flow(s),Entered water.,,,,,,,;
283220,Chokaisan,18004,-650,129005,Phreatic activity,Uncertain,,,,,,,;
283220,Chokaisan,18004,-650,129006,Lava flow(s),Uncertain,,,,,,,;
283220,Chokaisan,18004,-650,129007,Lava dome formation,Uncertain,,,,,,,;
283220,Chokaisan,18004,-650,129008,Edifice destroyed,Collapse/avalanche,,,,,,,;
283220,Chokaisan,18004,-650,129009,Debris avalanches,,,,,,,,;
283220,Chokaisan,18005,-450,129010,Tephra,,,,,,,,;
283220,Chokaisan,18005,-450,129011,Phreatic activity,,,,,,,,;
283220,Chokaisan,18021,939,129016,Phreatic activity,,,,,,,,;
283220,Chokaisan,18026,1659,129023,Phreatic activity,,,,,,,,;
283220,Chokaisan,18029,1740,129030,Ash,,,,,,,,;
283220,Chokaisan,18029,1740,129031,Phreatic activity,,,,,,,,;
283220,Chokaisan,18029,1740,129032,Property damage,,,,,,,,;
283220,Chokaisan,18031,1800,129038,Explosion,,,,,,,,;
283220,Chokaisan,18031,1800,129039,Ash,,,,,,,,;
283220,Chokaisan,18031,1800,129040,Bombs,,,,,,,,;
283220,Chokaisan,18031,1800,129041,Phreatic activity,,,,,,,,;
283220,Chokaisan,18031,1800,129042,Lava flow(s),,,,,,,,;
283220,Chokaisan,18031,1800,129043,Lava dome formation,,,,,,,,;
283220,Chokaisan,18031,1800,129044,Fatalities,,,1801,,8,,14,;
283220,Chokaisan,18031,1800,129045,Lahar or mudflow,,,,,,,,;
283220,Chokaisan,18031,1800,129046,Earthquakes (undefined),Time and Type Unknown.,,,,,,,;
283230,Akita-Komagatake,18039,-7100,129048,Explosion,,,,,,,,;
283230,Akita-Komagatake,18039,-7100,129049,Scoria,,,,,,,,;
283230,Akita-Komagatake,18039,-7100,129050,Cinder cone formation,,,,,,,,;
283230,Akita-Komagatake,18040,-6350,129052,Explosion,,,,,,,,;
283230,Akita-Komagatake,18040,-6350,129053,Ash,,,,,,,,;
283230,Akita-Komagatake,18040,-6350,129054,Scoria,,,,,,,,;
283230,Akita-Komagatake,18040,-6350,129055,Pumice,,,,,,,,;
283230,Akita-Komagatake,18041,-6150,129057,Explosion,,,,,,,,;
283230,Akita-Komagatake,18041,-6150,129058,Ash,,,,,,,,;
283230,Akita-Komagatake,18041,-6150,129059,Lava flow(s),,,,,,,,;
283230,Akita-Komagatake,18042,-5950,129061,Explosion,,,,,,,,;
283230,Akita-Komagatake,18042,-5950,129062,Ash,,,,,,,,;
283230,Akita-Komagatake,18042,-5950,129063,Scoria,,,,,,,,;
283230,Akita-Komagatake,18042,-5950,129064,Pumice,,,,,,,,;
283230,Akita-Komagatake,18043,-1450,129066,Explosion,,,,,,,,;
283230,Akita-Komagatake,18043,-1450,129067,Phreatic activity,,,,,,,,;
283230,Akita-Komagatake,18043,-1450,129068,Cinder cone formation,,,,,,,,;
283230,Akita-Komagatake,18043,-1450,129069,Pumice,,,,,,,,;
283230,Akita-Komagatake,18044,-350,129071,Explosion,,,,,,,,;
283230,Akita-Komagatake,18044,-350,129072,Ash,,,,,,,,;
283230,Akita-Komagatake,18044,-350,129073,Lava flow(s),,,,,,,,;
283230,Akita-Komagatake,18044,-350,129074,Pumice,,,,,,,,;
283230,Akita-Komagatake,18045,-200,129076,Explosion,,,,,,,,;
283230,Akita-Komagatake,18045,-200,129077,Ash,,,,,,,,;
283230,Akita-Komagatake,18045,-200,129078,Phreatic activity,,,,,,,,;
283230,Akita-Komagatake,18045,-200,129079,Lava flow(s),,,,,,,,;
283230,Akita-Komagatake,18053,1970,129081,Lava flow(s),,,,,,,,;
283230,Akita-Komagatake,18053,1970,129082,Cinder cone formation,,,,,,,,;
283230,Akita-Komagatake,18053,1970,129083,Seismicity (volcanic),,,,,,,,;
283240,Iwatesan,18054,-6450,129085,Explosion,,,,,,,,;
283240,Iwatesan,18055,-6300,129087,Explosion,,,,,,,,;
283240,Iwatesan,18055,-6300,129088,Ash,,,,,,,,;
283240,Iwatesan,18055,-6300,129089,Phreatic activity,,,,,,,,;
283240,Iwatesan,18055,-6300,129090,Phreatomagmatic eruption,,,,,,,,;
283240,Iwatesan,18056,-5650,129092,Tephra,,,,,,,,;
283240,Iwatesan,18056,-5650,129093,Phreatic activity,,,,,,,,;
283240,Iwatesan,18057,-4900,129095,Explosion,,,,,,,,;
283240,Iwatesan,18057,-4900,129096,Ash,,,,,,,,;
283240,Iwatesan,18057,-4900,129097,Pyroclastic flow,,,,,,,,;
283240,Iwatesan,18057,-4900,129098,Debris avalanches,,,,,,,,;
283240,Iwatesan,18058,-4850,129100,Ash,,,,,,,,;
283240,Iwatesan,18058,-4850,129101,Phreatic activity,,,,,,,,;
283240,Iwatesan,18059,-4450,129103,Lava flow(s),,,,,,,,;
283240,Iwatesan,18060,-4350,129105,Explosion,,,,,,,,;
283240,Iwatesan,18060,-4350,129106,Ash,,,,,,,,;
283240,Iwatesan,18061,-3750,129108,Explosion,,,,,,,,;
283240,Iwatesan,18061,-3750,129109,Ash,,,,,,,,;
283240,Iwatesan,18061,-3750,129110,Pyroclastic flow,,,,,,,,;
283240,Iwatesan,18062,-3250,129112,Lava flow(s),,,,,,,,;
283260,Akita-Yakeyama,18075,-1250,129115,Phreatomagmatic eruption,,,,,,,,;
283260,Akita-Yakeyama,18076,570,129116,Explosion,,,,,,,,;
283260,Akita-Yakeyama,18076,570,129117,Tephra,,,,,,,,;
283260,Akita-Yakeyama,18076,570,129118,Phreatomagmatic eruption,,,,,,,,;
283260,Akita-Yakeyama,18078,1390,129121,Phreatic activity,,,,,,,,;
283260,Akita-Yakeyama,18079,1678,129123,Tephra,,,,,,,,;
283260,Akita-Yakeyama,18079,1678,129124,Phreatic activity,,,,,,,,;
283260,Akita-Yakeyama,18079,1678,129125,Loud audible noises,,,,,,,,;
283260,Akita-Yakeyama,18079,1678,129126,Earthquakes (undefined),Before.,,,,,,,;
283260,Akita-Yakeyama,18080,1867,129128,Phreatic activity,Uncertain,,,,,,,;
283260,Akita-Yakeyama,18081,1887,129130,Phreatic activity,weak or small,,,,,,,;
283260,Akita-Yakeyama,18082,1890,129132,Ash,,,,,,,,;
283260,Akita-Yakeyama,18082,1890,129133,Phreatic activity,weak or small,,,,,,,;
283260,Akita-Yakeyama,18083,1929,129135,Ash,,,,,,,,;
283260,Akita-Yakeyama,18083,1929,129136,Phreatic activity,weak or small,,,,,,,;
283260,Akita-Yakeyama,18084,1948,129138,Phreatic activity,weak or small,,,,,,,;
283260,Akita-Yakeyama,18085,1949,129140,Ash,,,,,,,,;
283260,Akita-Yakeyama,18085,1949,129141,Phreatic activity,,,,,,,,;
283260,Akita-Yakeyama,18085,1949,129142,Lahar or mudflow,,,,,,,,;
283260,Akita-Yakeyama,18085,1949,129143,Blocks,,,,,,,,;
283260,Akita-Yakeyama,18086,1950,129145,Phreatic activity,,,,,,,,;
283260,Akita-Yakeyama,18087,1951,129147,Phreatic activity,,,,,,,,;
283271,Towada,18095,-6250,129149,Pumice,,,,,,,,;
283271,Towada,18096,-5550,129151,Ash,,,,,,,,;
283271,Towada,18097,-4150,129153,Explosion,,,,,,,,;
283271,Towada,18097,-4150,129154,Ash,,,,,,,,;
283271,Towada,18097,-4150,129155,Pyroclastic flow,,,,,,,,;
283271,Towada,18097,-4150,129156,Pumice,,,,,,,,;
283271,Towada,18098,-750,129159,Explosion,,,,,,,,;
283271,Towada,18098,-750,129160,Ash,,,,,,,,;
283271,Towada,18098,-750,129161,Lapilli,,,,,,,,;
283271,Towada,18098,-750,129162,Pumice,,,,,,,,;
283271,Towada,18099,915,129164,Explosion,,,,,,,,;
283271,Towada,18099,915,129165,Ash,,,,,,,,;
283271,Towada,18099,915,129166,Lapilli,,,,,,,,;
283271,Towada,18099,915,129167,Pyroclastic flow,,,,,,,,;
283271,Towada,18099,915,129168,Lava flow(s),,,,,,,,;
283271,Towada,18099,915,129169,Lava dome formation,,,,,,,,;
283271,Towada,18099,915,129170,Property damage,,,,,,,,;
283271,Towada,18099,915,129171,Lahar or mudflow,,,,,,,,;
283271,Towada,18099,915,129172,Pumice,,,,,,,,;
283270,Iwakisan,18100,-8050,129174,Lava dome formation,,,,,,,,;
283270,Iwakisan,18101,-4050,129176,Explosion,,,,,,,,;
283270,Iwakisan,18101,-4050,129177,Ash,,,,,,,,;
283270,Iwakisan,18101,-4050,129178,Lava dome formation,,,,,,,,;
283270,Iwakisan,18101,-4050,129179,Pumice,,,,,,,,;
283270,Iwakisan,18102,-1050,129181,Explosion,,,,,,,,;
283270,Iwakisan,18102,-1050,129182,Lava dome formation,,,,,,,,;
283270,Iwakisan,18116,1782,129191,Phreatic activity,,,,,,,,;
283270,Iwakisan,18116,1782,129192,Crater formation,Summit.,,,,,,,;
283270,Iwakisan,18118,1790,129196,Ash,,,,,,,,;
283270,Iwakisan,18118,1790,129197,Phreatic activity,,,,,,,,;
283270,Iwakisan,18124,1844,129213,Phreatic activity,weak or small,,,,,,,;
283270,Iwakisan,18124,1844,129214,Debris avalanches,Uncertain,,,,,,,;
283270,Iwakisan,18124,1844,129215,Loud audible noises,,,,,,,,;
284010,Izu-Oshima,18138,-8450,129217,Ash,,,,,,,,;
284010,Izu-Oshima,18139,-8050,129218,Explosion,,,,,,,,;
284010,Izu-Oshima,18139,-8050,129219,Ash,,,,,,,,;
284010,Izu-Oshima,18140,-7650,129220,Explosion,,,,,,,,;
284010,Izu-Oshima,18140,-7650,129221,Ash,,,,,,,,;
284010,Izu-Oshima,18141,-7150,129222,Explosion,,,,,,,,;
284010,Izu-Oshima,18141,-7150,129223,Ash,,,,,,,,;
284010,Izu-Oshima,18142,-6650,129225,Ash,,,,,,,,;
284010,Izu-Oshima,18142,-6650,129226,Pyroclastic flow,Uncertain,,,,,,,;
284010,Izu-Oshima,18142,-6650,129227,Phreatic activity,,,,,,,,;
284010,Izu-Oshima,18142,-6650,129228,Debris avalanches,Uncertain,,,,,,,;
284010,Izu-Oshima,18143,-6550,129229,Explosion,,,,,,,,;
284010,Izu-Oshima,18143,-6550,129230,Ash,,,,,,,,;
284010,Izu-Oshima,18143,-6550,129231,Lava flow(s),,,,,,,,;
284010,Izu-Oshima,18144,-6050,129232,Explosion,,,,,,,,;
284010,Izu-Oshima,18144,-6050,129233,Ash,,,,,,,,;
284010,Izu-Oshima,18145,-5550,129234,Explosion,,,,,,,,;
284010,Izu-Oshima,18145,-5550,129235,Ash,,,,,,,,;
284010,Izu-Oshima,18146,-5450,129236,Explosion,,,,,,,,;
284010,Izu-Oshima,18146,-5450,129237,Ash,,,,,,,,;
284010,Izu-Oshima,18147,-4920,129238,Explosion,,,,,,,,;
284010,Izu-Oshima,18147,-4920,129239,Ash,,,,,,,,;
284010,Izu-Oshima,18148,-4450,129240,Explosion,,,,,,,,;
284010,Izu-Oshima,18148,-4450,129241,Ash,,,,,,,,;
284010,Izu-Oshima,18149,-4250,129242,Explosion,,,,,,,,;
284010,Izu-Oshima,18149,-4250,129243,Ash,,,,,,,,;
284010,Izu-Oshima,18150,-4000,129244,Explosion,,,,,,,,;
284010,Izu-Oshima,18150,-4000,129245,Ash,,,,,,,,;
284010,Izu-Oshima,18150,-4000,129246,Lava flow(s),,,,,,,,;
284010,Izu-Oshima,18151,-3750,129247,Explosion,,,,,,,,;
284010,Izu-Oshima,18151,-3750,129248,Ash,,,,,,,,;
284010,Izu-Oshima,18152,-3650,129249,Explosion,,,,,,,,;
284010,Izu-Oshima,18152,-3650,129250,Ash,,,,,,,,;
284010,Izu-Oshima,18162,340,129251,Pyroclastic flow,,,,,,,,;
284010,Izu-Oshima,18162,340,129252,Phreatic activity,,,,,,,,;
284010,Izu-Oshima,18162,340,129253,Lava flow(s),,,,,,,,;
284010,Izu-Oshima,18162,340,129254,Lahar or mudflow,,,,,,,,;
284010,Izu-Oshima,18162,340,129255,Caldera formation,Explosion,,,,,,,;
284010,Izu-Oshima,18162,340,129256,Lava flow(s),Entered water.,,,,,,,;
284010,Izu-Oshima,18163,580,129258,Explosion,,,,,,,,;
284010,Izu-Oshima,18163,580,129259,Ash,,,,,,,,;
284010,Izu-Oshima,18163,580,129260,Lava flow(s),Uncertain,,,,,,,;
284010,Izu-Oshima,18163,580,129261,Phreatomagmatic eruption,,,,,,,,;
284010,Izu-Oshima,18164,600,129263,Explosion,,,,,,,,;
284010,Izu-Oshima,18164,600,129264,Ash,,,,,,,,;
284010,Izu-Oshima,18164,600,129265,Lapilli,,,,,,,,;
284010,Izu-Oshima,18164,600,129266,Scoria,,,,,,,,;
284010,Izu-Oshima,18164,600,129267,Phreatic activity,,,,,,,,;
284010,Izu-Oshima,18164,600,129268,Phreatomagmatic eruption,,,,,,,,;
284010,Izu-Oshima,18165,625,129270,Explosion,,,,,,,,;
284010,Izu-Oshima,18165,625,129271,Ash,,,,,,,,;
284010,Izu-Oshima,18166,654,129273,Explosion,,,,,,,,;
284010,Izu-Oshima,18166,654,129274,Ash,,,,,,,,;
284010,Izu-Oshima,18167,680,129276,Explosion,,,,,,,,;
284010,Izu-Oshima,18167,680,129277,Ash,,,,,,,,;
284010,Izu-Oshima,18167,680,129278,Lava flow(s),,,,,,,,;
284010,Izu-Oshima,18168,684,129280,Lava flow(s),,,,,,,,;
284010,Izu-Oshima,18168,684,129281,Loud audible noises,,,,,,,,;
284010,Izu-Oshima,18168,684,129282,Lava flow(s),Entered water.,,,,,,,;
284010,Izu-Oshima,18169,700,129284,Explosion,,,,,,,,;
284010,Izu-Oshima,18177,1183,129292,Explosion,,,,,,,,;
284010,Izu-Oshima,18177,1183,129293,Ash,,,,,,,,;
284010,Izu-Oshima,18177,1183,129294,Scoria,,,,,,,,;
284010,Izu-Oshima,18178,1245,129296,Explosion,,,,,,,,;
284010,Izu-Oshima,18178,1245,129297,Ash,,,,,,,,;
284010,Izu-Oshima,18179,1307,129299,Explosion,,,,,,,,;
284010,Izu-Oshima,18179,1307,129300,Ash,,,,,,,,;
284010,Izu-Oshima,18179,1307,129301,Lava flow(s),,,,,,,,;
284010,Izu-Oshima,18179,1307,129302,Lava flow(s),Entered water.,,,,,,,;
284010,Izu-Oshima,18180,1338,129304,Explosion,,,,,,,,;
284010,Izu-Oshima,18180,1338,129305,Ash,,,,,,,,;
284010,Izu-Oshima,18181,1415,129306,Lava flow(s),Uncertain,,,,,,,;
284010,Izu-Oshima,18181,1415,129307,Loud audible noises,,,,,,,,;
284010,Izu-Oshima,18181,1415,129308,Fauna kill,Aquatic.,,,,,,,;
284010,Izu-Oshima,18181,1415,129309,Fauna kill,Terrestrial.,,,,,,,;
284010,Izu-Oshima,18182,1416,129311,Explosion,,,,,,,,;
284010,Izu-Oshima,18182,1416,129312,Ash,,,,,,,,;
284010,Izu-Oshima,18183,1421,129315,Explosion,,,,,,,,;
284010,Izu-Oshima,18183,1421,129316,Ash,,,,,,,,;
284010,Izu-Oshima,18183,1421,129317,Lava flow(s),,,,,,,,;
284010,Izu-Oshima,18183,1421,129318,Loud audible noises,,,,,,,,;
284010,Izu-Oshima,18194,1777,129319,Phreatic activity,,,,,,,,;
284010,Izu-Oshima,18194,1777,129320,Lava flow(s),,,,,,,,;
284010,Izu-Oshima,18194,1777,129321,Lava fountains,,,,,,,,;
284010,Izu-Oshima,18194,1777,129322,Cinder cone formation,,,,,,,,;
284010,Izu-Oshima,18194,1777,129323,Earthquakes (undefined),,,,,,,,;
284010,Izu-Oshima,18194,1777,129324,Lava flow(s),Entered water.,,,,,,,;
284010,Izu-Oshima,18195,1783,129326,Explosion,,,,,,,,;
284010,Izu-Oshima,18195,1783,129327,Ash,,,,,,,,;
284010,Izu-Oshima,18195,1783,129328,Property damage,,,,,,,,;
284010,Izu-Oshima,18196,1789,129330,Explosion,,,,,,,,;
284010,Izu-Oshima,18196,1789,129331,Ash,,,,,,,,;
284010,Izu-Oshima,18196,1789,129332,Property damage,,,,,,,,;
284010,Izu-Oshima,18196,1789,129333,Fatalities,,,1789,,,,,;
284010,Izu-Oshima,18196,1789,129334,Evacuations,,,,,,,,;
284010,Izu-Oshima,18197,1792,129336,Explosion,Uncertain,,,,,,,;
284010,Izu-Oshima,18198,1803,129338,Explosion,,,,,,,,;
284010,Izu-Oshima,18199,1821,129340,Explosion,,,,,,,,;
284010,Izu-Oshima,18199,1821,129341,Ash,,,,,,,,;
284010,Izu-Oshima,18200,1822,129343,Explosion,,,,,,,,;
284010,Izu-Oshima,18200,1822,129344,Ash,,,,,,,,;
284010,Izu-Oshima,18203,1846,129351,Explosion,,,,,,,,;
284010,Izu-Oshima,18203,1846,129352,Ash,,,,,,,,;
284010,Izu-Oshima,18215,1933,129354,Lava flow(s),,,,,,,,;
284010,Izu-Oshima,18216,1934,129356,Lava flow(s),,,,,,,,;
284010,Izu-Oshima,18216,1934,129357,Loud audible noises,,,,,,,,;
284010,Izu-Oshima,18218,1935,129361,Lava flow(s),,,,,,,,;
284010,Izu-Oshima,18219,1937,129363,Lava flow(s),,,,,,,,;
284010,Izu-Oshima,18220,1938,129365,Explosion,,,,,,,,;
284010,Izu-Oshima,18220,1938,129366,Lava flow(s),,,,,,,,;
284010,Izu-Oshima,18220,1938,129367,Earthquakes (undefined),Before.,,,,,,,;
284010,Izu-Oshima,18221,1939,129369,Explosion,,,,,,,,;
284010,Izu-Oshima,18221,1939,129370,Scoria,,,,,,,,;
284010,Izu-Oshima,18222,1939,129372,Explosion,,,,,,,,;
284010,Izu-Oshima,18222,1939,129373,Lava flow(s),,,,,,,,;
284010,Izu-Oshima,18222,1939,129374,Earthquakes (undefined),,,,,,,,;
284010,Izu-Oshima,18222,1939,129375,Earthquakes (undefined),After.,,,,,,,;
284010,Izu-Oshima,18223,1940,129377,Explosion,,,,,,,,;
284010,Izu-Oshima,18223,1940,129378,Lapilli,,,,,,,,;
284010,Izu-Oshima,18223,1940,129379,Bombs,,,,,,,,;
284010,Izu-Oshima,18223,1940,129380,Loud audible noises,,,,,,,,;
284010,Izu-Oshima,18223,1940,129381,Seismicity (volcanic),,,,,,,,;
284010,Izu-Oshima,18224,1950,129383,Explosion,,,,,,,,;
284010,Izu-Oshima,18224,1950,129384,Ash,,,,,,,,;
284010,Izu-Oshima,18224,1950,129385,Bombs,,,,,,,,;
284010,Izu-Oshima,18224,1950,129386,Scoria,,,,,,,,;
284010,Izu-Oshima,18230,1959,129387,Explosion,weak or small,,,,,,,;
284010,Izu-Oshima,18231,1959,129389,Explosion,weak or small,,,,,,,;
284010,Izu-Oshima,18233,1962,129394,Explosion,weak or small,,,,,,,;
284010,Izu-Oshima,18233,1962,129395,Ash,,,,,,,,;
284010,Izu-Oshima,18233,1962,129396,Phreatic activity,weak or small,,,,,,,;
284010,Izu-Oshima,18233,1962,129397,Loud audible noises,,,,,,,,;
284010,Izu-Oshima,18233,1962,129398,Earthquakes (undefined),,,,,,,,;
284010,Izu-Oshima,18234,1967,129400,Explosion,weak or small,,,,,,,;
284010,Izu-Oshima,18235,1968,129402,Explosion,weak or small,,,,,,,;
284010,Izu-Oshima,18235,1968,129403,Scoria,,,,,,,,;
284010,Izu-Oshima,18236,1968,129405,Explosion,weak or small,,,,,,,;
284010,Izu-Oshima,18236,1968,129406,Ash,,,,,,,,;
284010,Izu-Oshima,18237,1969,129408,Explosion,weak or small,,,,,,,;
284010,Izu-Oshima,18237,1969,129409,Ash,,,,,,,,;
284010,Izu-Oshima,18238,1970,129411,Explosion,weak or small,,,,,,,;
284010,Izu-Oshima,18238,1970,129412,Ash,,,,,,,,;
284010,Izu-Oshima,18239,1970,129414,Explosion,,,,,,,,;
284010,Izu-Oshima,18239,1970,129415,Ash,weak or small,,,,,,,;
284010,Izu-Oshima,18240,1971,129417,Explosion,weak or small,,,,,,,;
284010,Izu-Oshima,18240,1971,129418,Ash,,,,,,,,;
284010,Izu-Oshima,18240,1971,129419,Glow,,,,,,,,;
284010,Izu-Oshima,18244,1990,129421,Lapilli,,,,,,,,;
284010,Izu-Oshima,18244,1990,129422,Phreatic activity,,,,,,,,;
284010,Izu-Oshima,18244,1990,129423,Crater formation,Summit.,,,,,,,;
284010,Izu-Oshima,18244,1990,129424,Earthquakes (undefined),Before.,,,,,,,;
284010,Izu-Oshima,18244,1990,129425,Earthquakes (undefined),,,,,,,,;
284010,Izu-Oshima,18244,1990,129426,Earthquakes (undefined),After.,,,,,,,;
284020,Niijima,18245,-5950,129428,Explosion,Uncertain,,,,,,,;
284020,Niijima,18245,-5950,129429,Lava dome formation,,,,,,,,;
284020,Niijima,18246,-4350,129431,Explosion,,,,,,,,;
284020,Niijima,18246,-4350,129432,Tephra,,,,,,,,;
284020,Niijima,18246,-4350,129433,Lava dome formation,,,,,,,,;
284020,Niijima,18247,-1250,129435,Explosion,,,,,,,,;
284020,Niijima,18247,-1250,129436,Ash,,,,,,,,;
284020,Niijima,18247,-1250,129437,Pyroclastic flow,,,,,,,,;
284020,Niijima,18248,856,129439,Explosion,,,,,,,,;
284020,Niijima,18248,856,129440,Pyroclastic flow,,,,,,,,;
284020,Niijima,18248,856,129441,Lava dome formation,,,,,,,,;
"284020,Niijima,18249,886,129444,Explosion,""violent, strong, or large"",,,,,,,";
284020,Niijima,18249,886,129445,Ash,,,,,,,,;
284020,Niijima,18249,886,129446,Pyroclastic flow,,,,,,,,;
284020,Niijima,18249,886,129447,Lava dome formation,,,,,,,,;
284020,Niijima,18249,886,129448,Pumice,,,,,,,,;
284020,Niijima,18249,886,129449,Phreatomagmatic eruption,,,,,,,,;
284030,Kozushima,18250,-8050,129451,Lava dome formation,,,,,,,,;
284030,Kozushima,18251,-750,129453,Lava flow(s),,,,,,,,;
284030,Kozushima,18251,-750,129454,Lava dome formation,,,,,,,,;
284040,Miyakejima,18260,1535,129455,Lava flow(s),Entered water.,,,,,,,;
284040,Miyakejima,18261,1595,129457,Explosion,,,,,,,,;
284040,Miyakejima,18261,1595,129458,Lava flow(s),,,,,,,,;
284040,Miyakejima,18261,1595,129459,Lahar or mudflow,Uncertain,,,,,,,;
284040,Miyakejima,18261,1595,129460,Lava flow(s),Entered water.,,,,,,,;
284040,Miyakejima,18262,1643,129463,Explosion,,,,,,,,;
284040,Miyakejima,18262,1643,129464,Lapilli,,,,,,,,;
284040,Miyakejima,18262,1643,129465,Lava flow(s),,,,,,,,;
284040,Miyakejima,18262,1643,129466,Property damage,,,,,,,,;
284040,Miyakejima,18262,1643,129467,Evacuations,,,,,,,,;
284040,Miyakejima,18262,1643,129468,Lava flow(s),Entered water.,,,,,,,;
284040,Miyakejima,18264,1712,129473,Explosion,,,,,,,,;
